127.0.0.1 - - [13/Oct/2022:01:34:23 +0900] "GET / HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /main.jsp HTTP/1.1" 200 5632
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /css/main.css?after HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /css/base.css?after HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /css/common.css?after HTTP/1.1" 200 24982
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /css/img/bullet_common.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /css/img/bg_wrap.gif HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:25 +0900] "GET /images/logo.png HTTP/1.1" 200 4718
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:30 +0900] "POST /loginAction.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:30 +0900] "GET /main.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:30 +0900] "GET /css/img/bullet_common.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:30 +0900] "GET /css/img/bg_wrap.gif HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [13/Oct/2022:01:34:31 +0900] "GET /main.jsp HTTP/1.1" 200 5268
